YearMonth,Call Count,Number of Special Events,"Undergraduate full-time, non-visiting","Graduate full-time, non-visiting","Total (including part-time, visiting)",Number_of_Employee
2016-01,43,10.0,3724,2596,6437,3519
2016-02,37,16.0,3724,2596,6437,3519
2016-03,96,24.0,3724,2596,6437,3519
2016-04,74,23.0,3724,2596,6437,3519
2016-08,61,7.0,3839,2861,6855,3519
2016-09,91,9.0,3839,2861,6855,3519
2016-10,117,10.0,3839,2861,6855,3519
2016-11,61,12.0,3839,2861,6855,3519
2016-12,13,10.0,3839,2861,6855,3519
2017-01,44,11.0,3707,2726,6566,3723
2017-02,51,16.0,3707,2726,6566,3723
2017-03,43,24.0,3707,2726,6566,3723
2017-04,91,21.0,3707,2726,6566,3723
2017-08,70,7.0,3933,2934,7022,3723
2017-09,68,13.0,3933,2934,7022,3723
2017-10,85,9.0,3933,2934,7022,3723
2017-11,87,9.0,3933,2934,7022,3723
2017-12,19,6.0,3933,2934,7022,3723
2018-01,50,6.0,3809,2728,6658,3848
2018-02,49,11.0,3809,2728,6658,3848
2018-03,70,29.0,3809,2728,6658,3848
2018-04,59,19.0,3809,2728,6658,3848
2021-01,7,7.0,3941,2909,7014,3775
2021-02,36,9.0,3941,2909,7014,3775
2021-03,27,22.0,3941,2909,7014,3775
2021-04,52,15.0,3941,2909,7014,3775
2021-08,94,4.0,4202,3506,7819,3775
2021-09,104,13.0,4202,3506,7819,3775
2021-10,90,15.0,4202,3506,7819,3775
2021-11,81,20.0,4202,3506,7819,3775
2021-12,34,9.0,4202,3506,7819,3775
2022-01,27,8.0,4111,3371,7606,4078
2022-02,45,13.0,4111,3371,7606,4078
2022-03,82,30.0,4111,3371,7606,4078
2022-04,108,23.0,4111,3371,7606,4078
2022-08,84,11.0,4447,3685,8272,4078
2022-09,127,21.0,4447,3685,8272,4078
2022-10,155,33.0,4447,3685,8272,4078
2022-11,81,19.0,4447,3685,8272,4078
2022-12,31,14.0,4447,3685,8272,4078
2023-01,59,8.0,4340,3270,7745,4371
2023-02,77,17.0,4340,3270,7745,4371
2023-03,78,23.0,4340,3270,7745,4371
2023-04,148,23.0,4340,3270,7745,4371
2023-08,119,16.0,4528,3578,8225,4371
2023-09,126,19.0,4528,3578,8225,4371
2023-10,153,18.0,4528,3578,8225,4371
2023-11,82,26.0,4528,3578,8225,4371
2023-12,3,9.0,4528,3578,8225,4371
